arpu_segment,data_segment,call_segment,customers,median_arpu_3m,mean_arpu_3m,median_data_mb,median_call_min,median_predicted_arpu
HIGH,HEAVY,HIGH,2745,8696.25,10054.90451062538,7539.473333333332,539.2866666666667,8041.629200692688
HIGH,HEAVY,LOW,2033,7801.7875,8842.997973028365,7376.473333333332,21.77,7027.048963044193
HIGH,HEAVY,MEDIUM,4159,8469.763333333334,9319.988400657208,7162.163333333333,138.21666666666667,7819.769737185814
HIGH,LITE,HIGH,1033,8046.553333333333,9490.586689254598,946.9066666666666,535.4,7849.937200429838
HIGH,LITE,LOW,1529,7259.793333333334,8349.991099956398,643.47,18.046666666666667,7016.216981831676
HIGH,LITE,MEDIUM,2267,7834.06,8924.649422437877,807.4933333333333,144.41666666666666,7765.645016326272
HIGH,NON_USER,HIGH,43,6208.283333333333,7875.619031007752,0.0,492.99,6504.175877079814
HIGH,NON_USER,LOW,23,5806.296666666666,6235.57188405797,0.0,29.27333333333333,4512.123608481645
HIGH,NON_USER,MEDIUM,71,6720.110000000001,7104.417605633802,0.0,174.40666666666667,6613.619620218617
HIGH,,LOW,15,6976.64,9799.869666666667,,,5192.753474340623
LOW,HEAVY,HIGH,2,463.71833333333336,463.71833333333336,13963.640000000001,1105.6575,3104.7073988965967
LOW,HEAVY,LOW,434,186.4433333333333,304.25522273425497,3763.0041666666666,0.2,2291.4429683448725
LOW,HEAVY,MEDIUM,14,676.81,552.5625595238096,3623.3650000000002,189.44666666666666,3052.4965992078014
LOW,LITE,HIGH,2,922.6099999999999,922.6099999999999,864.7666666666667,514.2925,2331.903650743105
LOW,LITE,LOW,1659,186.90333333333336,303.9913090214989,212.98333333333332,0.1999999999999999,2591.5538182042
LOW,LITE,MEDIUM,30,483.78999999999996,535.7088333333334,306.8516666666667,163.185,2909.676970786782
LOW,NON_USER,HIGH,2,938.76,938.76,0.0,542.5383333333333,3258.0463555937076
LOW,NON_USER,LOW,541,93.36,268.74022335181763,0.0,0.0,2675.565880318695
LOW,NON_USER,MEDIUM,7,606.3233333333333,658.0345238095239,0.0,145.28,925.18
LOW,,LOW,47,169.625,306.5006737588653,,,700.895
MID,HEAVY,HIGH,251,4159.0233333333335,3965.4818592297474,5354.923333333333,548.2900000000001,5562.160018365208
MID,HEAVY,LOW,1423,3168.963333333333,3117.643901967674,4584.506666666667,13.94,4406.519197120913
MID,HEAVY,MEDIUM,674,3904.17,3710.6812017804154,5407.205,150.305,5211.462059491068
MID,LITE,HIGH,270,4124.52,3903.9835327160495,362.79,562.0266666666666,5352.035560831282
MID,LITE,LOW,2581,2596.4866666666667,2736.0291518145423,240.17,11.725,4013.360900500093
MID,LITE,MEDIUM,882,3789.451666666666,3606.7592864701437,323.50916666666666,159.15499999999997,5105.020808073053
MID,NON_USER,HIGH,68,3911.6283333333326,3723.523357843137,0.0,579.0466666666666,5285.706016132869
MID,NON_USER,LOW,383,2189.9500000000003,2383.6096235857267,0.0,21.37,3730.884018518368
MID,NON_USER,MEDIUM,205,3446.3700000000003,3373.5416178861788,0.0,172.40666666666667,4550.859233657727
MID,,LOW,43,2208.99,2357.795348837209,,,3040.8884392394725
,,LOW,5,,,,,3644.565627625858
